ID	DOCULECT	CONCEPT	IPA	COGID	SOURCE_COGNATE_CLASS	NOTE	COGIDS	CONCEPTICON_ID	TOKENS	GLOTTOLOG	ALIGNMENT
26838	Beijing	the male dog	kuŋ⁵⁵kou²¹⁴	403	公狗		181 182	2480	k u ŋ ⁵⁵ + k o u ²¹⁴	mand1415	
26839	Jinan	the male dog	ia⁴²kou⁵⁵	408	牙狗		183 182	2480	i a ⁴² + k o u ⁵⁵	mand1415	
26840	Shenyang	the male dog	ia³⁵kou²¹³	408	牙狗		183 182	2480	i a ³⁵ + k o u ²¹³	mand1415	
26841	Xian	the male dog	kuoŋ²¹kou⁵³	403	公狗		181 182	2480	k u o ŋ ²¹ + k o u ⁵³	mand1415	
26842	Chengdu	the male dog	koŋ⁴⁴kəu⁵³	403	公狗		181 182	2480	k o ŋ ⁴⁴ + k ə u ⁵³	mand1415	
26843	Kunming	the male dog	koŋ⁴⁴kəu⁵³	403	公狗		181 182	2480	k o ŋ ⁴⁴ + k ə u ⁵³	mand1415	
26844	Hefei	the male dog	kəŋ²¹²kɯ²⁴	403	公狗		181 182	2480	k ə ŋ ²¹² + k ɯ ²⁴	mand1415	
26845	Yangzhou	the male dog	koŋ³¹kɤɯ⁴²	403	公狗		181 182	2480	k o ŋ ³¹ + k ɤ ɯ ⁴²	mand1415	
26846	Yangzhou	the male dog	ɑ³⁴kɤɯ⁴²	409	兒狗	[2]	184 182	2480	ɑ ³⁴ + k ɤ ɯ ⁴²	mand1415	
26847	Suzhou	the male dog	ioŋ²⁴₂₂kʏ⁴¹₄₄	410	雄狗		185 182	2480	i o ŋ ²⁴ + k ʏ ⁴¹	wuch1236	
26848	Wenzhou	the male dog	ɦyoŋ³¹kau⁴⁵	410	雄狗		185 182	2480	ɦ y o ŋ ³¹ + k a u ⁴⁵	wuch1236	
26849	Changsha	the male dog	kəu⁴¹kən³³tsɿ⁰	405	狗公子		182 181 186	2480	k ə u ⁴¹ + k ə n ³³ + ts ɿ ⁰	xian1251	
26850	Changsha	the male dog	kəu⁴¹ku⁴¹tsɿ⁰	407	狗牯子	[2]	182 187 186	2480	k ə u ⁴¹ + k u ⁴¹ + ts ɿ ⁰	xian1251	
26851	Nanchang	the male dog	kiɛu²¹³kuŋ⁴².	404	狗公		182 181	2480	k i ɛ u ²¹³ + k u ŋ ⁴²	gan1239	
26852	Meixian	the male dog	kɛu³¹ku³¹	406	狗牯		182 187	2480	k ɛ u ³¹ + k u ³¹	hak1236	
26853	Guangzhou	the male dog	kɐu³⁵kʊŋ⁵⁵	404	狗公		182 181	2480	k ɐ u ³⁵ + k ʊ ŋ ⁵⁵	yuec1235	
26854	Yangjiang	the male dog	kɐu²¹kʊŋ³³	404	狗公		182 181	2480	k ɐ u ²¹ + k ʊ ŋ ³³	yuec1235	
26855	Xiamen	the male dog	kau⁵¹₅₅kaŋ⁵⁵	404	狗公		182 181	2480	k a u ⁵¹ + k a ŋ ⁵⁵	minn1241	
26856	Chaozhou	the male dog	kat⁵³₂₄kou⁵³₂₁	406	狗牯		182 187	2480	k a t ⁵³ + k o u ⁵³	min1241	
