ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PARTIAL	PARTIAL_IDS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG
378	Gongxing	I	ŋa₄₂	ŋ a ⁴²	7	a	103	801 997 1175	1209	nort2724
379	Jinman	I	õ₄₂	õ ⁴²	7	a	103	883 1175	1209	nort2724
380	Mazhelong	I	ŋo₄₂	ŋ o ⁴²	7	a	103	801 887 1175	1209	sout2730
381	Dashi	I	ŋõ₃₁	ŋ õ ³¹	7	a	103	801 883 1162	1209	cent2004
382	Zhoucheng	I	ŋo₃₁	ŋ o ³¹	7	a	103	801 887 1162	1209	sout2730
383	Jinxing	I	wõ₃₁	w õ ³¹	7	a	103	462 883 1162	1209	cent2004
384	Tuolo	I	ŋɔ₂₁	ŋ ɔ ²¹	7	a	103	801 916 1152	1209	nort2724
385	Enqi	I	ɴo₄₃	ɴ o ⁴³	7	a	103	751 887 1176	1209	nort2724
386	Ega	I	ŋo₄₂	ŋ o ⁴²	7	a	103	801 887 1175	1209	nort2724
1	Gongxing	all	ʦʰæ₂₂ja₄₂	tsʰ æ ²² + j a ⁴²	1	hi	1 2	13 1087 1150 570 997 1175	98	nort2724
2	Jinman	all	da₄₂t͡ʂɚ₂₂	d a ⁴² + ʈʂ ə˞ ²²	202	cj	3 4	145 997 1175 699 1026 1150	98	nort2724
3	Mazhelong	all	so₂₁ji₂₁	s o ²¹ + j i ²¹	233	lm	5 6	89 887 1152 570 1076 1152	98	sout2730
4	Dashi	all	ʨwan₄₂pu₅₅	tɕ w a n ⁴² + p u ⁵⁵	259	ab	7 8	200 462 997 107 1175 291 868 1189	98	cent2004
5	Zhoucheng	all	ji₃₁su₃₃	j i ³¹ + s u ³³	244	mp	6 9	570 1076 1162 89 868 1161	98	sout2730
6	Jinxing	all	ʦa₃₅kɑ₂₁ʦi₃₃	ts a ³⁵ + k ɑ ²¹ + ts i ³³	2	ekg	10 11 12	15 997 1165 838 952 1152 15 1076 1161	98	cent2004
7	Tuolo	all	ʨʰa₅₅	tɕʰ a ⁵⁵	33	o	13	199 997 1189	98	nort2724
8	Enqi	all	ʨa₂₄ʁo₂₁ʦi₂₂	tɕ a ²⁴ + ʁ o ²¹ + ts i ²²	3	efg	10 14 12	200 997 1156 739 887 1152 15 1076 1150	98	nort2724
9	Ega	all	da₅₅ŋwa₂₂	d a ⁵⁵ + ŋ w a ²²	201	cd	3 15	145 997 1189 801 462 997 1150	98	nort2724
10	Gongxing	ashes	xwɛ₂₂ɕy₅₅ʁwa₁₂	x w ɛ ²² + ɕ y ⁵⁵ + ʁ w a ¹²	58	acd	16 17 18	778 462 1121 1150 204 1047 1189 739 462 997 1167	646	nort2724
11	Jinman	ashes	kʰwa₅₅la₂₁ɕu₅₅	kʰ w a ⁵⁵ + l a ²¹ + ɕ u ⁵⁵	88	ebc	19 20 17	820 462 997 1189 554 997 1152 204 868 1189	646	nort2724
12	Mazhelong	ashes	xwa₃₁la₄₄su₅₅	x w a ³¹ + l a ⁴⁴ + s u ⁵⁵	59	abc	16 20 17	778 462 997 1162 554 997 1178 89 868 1189	646	sout2730
13	Zhoucheng	ashes	su₅₅	s u ⁵⁵	67	c	17	89 868 1189	646	sout2730
14	Jinxing	ashes	su₅₅	s u ⁵⁵	67	c	17	89 868 1189	646	cent2004
15	Tuolo	ashes	ʂɤ₅₅	ʂ ɤ ⁵⁵	67	c	17	705 947 1189	646	nort2724
16	Enqi	ashes	xwi₂₂ɕu₂₄	x w i ²² + ɕ u ²⁴	57	ac	16 17	778 462 1076 1150 204 868 1156	646	nort2724
17	Ega	ashes	xwa₅₅lo₂₁ɕu₅₅	x w a ⁵⁵ + l o ²¹ + ɕ u ⁵⁵	59	abc	16 20 17	778 462 997 1189 554 887 1152 204 868 1189	646	nort2724
18	Gongxing	bark	d͡ʐi₁₂bi₂₁	ɖʐ i ¹² + b i ²¹	109	ab	21 22	698 1076 1167 257 1076 1152	1204	nort2724
19	Mazhelong	bark	ɕen₅₅pe₂₁	ɕ e n ⁵⁵ + p e ²¹	131	db	23 22	204 1089 107 1189 291 1089 1152	1204	sout2730
20	Dashi	bark	t͡ʂɯ₂₁pe₂₁	ʈʂ ɯ ²¹ + p e ²¹	109	ab	21 22	699 944 1152 291 1089 1152	1204	cent2004
21	Zhoucheng	bark	ʦɯ₃₁pe₂₁	ts ɯ ³¹ + p e ²¹	109	ab	21 22	15 944 1162 291 1089 1152	1204	sout2730
22	Jinxing	bark	ʦɯ₃₁pe₂₁	ts ɯ ³¹ + p e ²¹	109	ab	21 22	15 944 1162 291 1089 1152	1204	cent2004
23	Tuolo	bark	djɯ₂₁bi₃₅	d j ɯ ²¹ + b i ³⁵	109	ab	21 22	145 570 944 1152 257 1076 1165	1204	nort2724
24	Enqi	bark	djɯ₄₃pi₂₁	d j ɯ ⁴³ + p i ²¹	109	ab	21 22	145 570 944 1176 291 1076 1152	1204	nort2724
25	Ega	bark	ʥi₄₂ʨyj₂₁qa₅₅	dʑ i ⁴² + tɕ y j ²¹ + q a ⁵⁵	110	abc	21 22 24	197 1076 1175 200 1047 570 1152 757 997 1189	1204	nort2724
26	Gongxing	belly	ʐi₂₁	ʐ i ²¹	147	b	25	706 1076 1152	1251	nort2724
27	Jinman	belly	ʐɚ₄₂	ʐ ə˞ ⁴²	147	b	25	706 1026 1175	1251	nort2724
28	Mazhelong	belly	pɯ₄₄	p ɯ ⁴⁴	160	a	26	291 944 1178	1251	sout2730
29	Dashi	belly	fo₄₄	f o ⁴⁴	160	a	26	452 887 1178	1251	cent2004
30	Zhoucheng	belly	fɤ₄₄	f ɤ ⁴⁴	160	a	26	452 947 1178	1251	sout2730
31	Jinxing	belly	fɤ₄₄	f ɤ ⁴⁴	160	a	26	452 947 1178	1251	cent2004
32	Tuolo	belly	fɚ₄₂	f ə˞ ⁴²	160	a	26	452 1026 1175	1251	nort2724
33	Enqi	belly	fo₂₄	f o ²⁴	160	a	26	452 887 1156	1251	nort2724
34	Ega	belly	xu₄₄qʰo₂₂	x u ⁴⁴ + qʰ o ²²	171	cd	27 28	778 868 1178 759 887 1150	1251	nort2724
35	Gongxing	big	da₄₂	d a ⁴²	191	a	29	145 997 1175	1202	nort2724
36	Jinman	big	do₄₂	d o ⁴²	191	a	29	145 887 1175	1202	nort2724
37	Mazhelong	big	do₄₂	d o ⁴²	191	a	29	145 887 1175	1202	sout2730
38	Dashi	big	tow₄₂	t o w ⁴²	191	a	29	120 887 462 1175	1202	cent2004
39	Zhoucheng	big	to₄₂	t o ⁴²	191	a	29	120 887 1175	1202	sout2730
40	Jinxing	big	tow₄₂	t o w ⁴²	191	a	29	120 887 462 1175	1202	cent2004
41	Tuolo	big	dɔ₂₁	d ɔ ²¹	191	a	29	145 916 1152	1202	nort2724
42	Enqi	big	da₄₃	d a ⁴³	191	a	29	145 997 1176	1202	nort2724
43	Ega	big	do₄₂	d o ⁴²	191	a	29	145 887 1175	1202	nort2724
44	Gongxing	bird	ʦu₂₄	ts u ²⁴	203	a	30	15 868 1156	937	nort2724
45	Jinman	bird	ʦo₅₅	ts o ⁵⁵	203	a	30	15 887 1189	937	nort2724
46	Mazhelong	bird	ʦo₄₄	ts o ⁴⁴	203	a	30	15 887 1178	937	sout2730
47	Dashi	bird	ʦow₃₃	ts o w ³³	203	a	30	15 887 462 1161	937	cent2004
48	Zhoucheng	bird	ʦow₄₄	ts o w ⁴⁴	203	a	30	15 887 462 1178	937	sout2730
49	Jinxing	bird	ʦow₄₄	ts o w ⁴⁴	203	a	30	15 887 462 1178	937	cent2004
50	Tuolo	bird	ʦu₄₂	ts u ⁴²	203	a	30	15 868 1175	937	nort2724
51	Enqi	bird	ʦu₅₅	ts u ⁵⁵	203	a	30	15 868 1189	937	nort2724
52	Ega	bird	ʦu₄₄	ts u ⁴⁴	203	a	30	15 868 1178	937	nort2724
53	Gongxing	bite	ŋa₂₄	ŋ a ²⁴	214	a	31	801 997 1156	1403	nort2724
54	Jinman	bite	ŋa₄₄	ŋ a ⁴⁴	214	a	31	801 997 1178	1403	nort2724
55	Mazhelong	bite	ŋɑ₄₄	ŋ ɑ ⁴⁴	214	a	31	801 952 1178	1403	sout2730
56	Dashi	bite	ɣaŋ₄₄	ɣ a ŋ ⁴⁴	214	a	31	780 997 801 1178	1403	cent2004
57	Zhoucheng	bite	ŋa₄₄	ŋ a ⁴⁴	214	a	31	801 997 1178	1403	sout2730
58	Jinxing	bite	ɑ̃₄₄	ɑ̃ ⁴⁴	214	a	31	951 1178	1403	cent2004
59	Tuolo	bite	ŋɔ₄₂	ŋ ɔ ⁴²	214	a	31	801 916 1175	1403	nort2724
60	Enqi	bite	ɴa₅₅	ɴ a ⁵⁵	214	a	31	751 997 1189	1403	nort2724
61	Ega	bite	ŋo₄₄	ŋ o ⁴⁴	214	a	31	801 887 1178	1403	nort2724
62	Gongxing	black	χe₂₄	χ e ²⁴	215	a	32	748 1089 1156	163	nort2724
63	Jinman	black	xɯ₅₅	x ɯ ⁵⁵	215	a	32	778 944 1189	163	nort2724
64	Mazhelong	black	xɯ₄₄	x ɯ ⁴⁴	215	a	32	778 944 1178	163	sout2730
65	Dashi	black	xɯ₄₄	x ɯ ⁴⁴	215	a	32	778 944 1178	163	cent2004
66	Zhoucheng	black	xɯ₄₄	x ɯ ⁴⁴	215	a	32	778 944 1178	163	sout2730
67	Jinxing	black	xɯ₄₄	x ɯ ⁴⁴	215	a	32	778 944 1178	163	cent2004
68	Tuolo	black	xɚ₄₂	x ə˞ ⁴²	215	a	32	778 1026 1175	163	nort2724
69	Enqi	black	χɯ₅₅	χ ɯ ⁵⁵	215	a	32	748 944 1189	163	nort2724
70	Ega	black	xɯ₄₄	x ɯ ⁴⁴	215	a	32	778 944 1178	163	nort2724
71	Gongxing	blood	swa₂₄	s w a ²⁴	216	a	33	89 462 997 1156	946	nort2724
72	Jinman	blood	swa₅₅	s w a ⁵⁵	216	a	33	89 462 997 1189	946	nort2724
73	Mazhelong	blood	swa₄₄	s w a ⁴⁴	216	a	33	89 462 997 1178	946	sout2730
74	Dashi	blood	sʰwa₄₄	sʰ w a ⁴⁴	216	a	33	71 462 997 1178	946	cent2004
75	Zhoucheng	blood	swa₄₄	s w a ⁴⁴	216	a	33	89 462 997 1178	946	sout2730
76	Jinxing	blood	swɑ₄₄	s w ɑ ⁴⁴	216	a	33	89 462 952 1178	946	cent2004
77	Tuolo	blood	swɔ₄₂	s w ɔ ⁴²	216	a	33	89 462 916 1175	946	nort2724
78	Enqi	blood	swa₅₅	s w a ⁵⁵	216	a	33	89 462 997 1189	946	nort2724
79	Ega	blood	swa₄₄	s w a ⁴⁴	216	a	33	89 462 997 1178	946	nort2724
80	Gongxing	bone	qwa₂₄	q w a ²⁴	217	a	34	757 462 997 1156	1394	nort2724
81	Jinman	bone	qwa₅₅ʦe₅₅	q w a ⁵⁵ + ts e ⁵⁵	218	ac	34 35	757 462 997 1189 15 1089 1189	1394	nort2724
82	Mazhelong	bone	kwa₄₄twɤ₄₄	k w a ⁴⁴ + t w ɤ ⁴⁴	219	ab	34 36	838 462 997 1178 120 462 947 1178	1394	sout2730
83	Dashi	bone	kwa₄₄tjǝ₃₃	k w a ⁴⁴ + t j ə ³³	219	ab	34 36	838 462 997 1178 120 570 1022 1161	1394	cent2004
84	Zhoucheng	bone	kwa₄₄tɯ₃₃	k w a ⁴⁴ + t ɯ ³³	219	ab	34 36	838 462 997 1178 120 944 1161	1394	sout2730
85	Jinxing	bone	kwɑ₄₄tǝ₄₂	k w ɑ ⁴⁴ + t ə ⁴²	219	ab	34 36	838 462 952 1178 120 1022 1175	1394	cent2004
86	Tuolo	bone	ku₄₂djɯ₃₅ʦɛ₄₂	k u ⁴² + d j ɯ ³⁵ + ts ɛ ⁴²	220	abc	34 36 35	838 868 1175 145 570 944 1165 15 1121 1175	1394	nort2724
87	Enqi	bone	qwa₅₅	q w a ⁵⁵	217	a	34	757 462 997 1189	1394	nort2724
88	Ega	bone	qwa₄₄	q w a ⁴⁴	217	a	34	757 462 997 1178	1394	nort2724
89	Gongxing	breast	ba₂₁	b a ²¹	221	a	37	257 997 1152	1402	nort2724
90	Jinman	breast	pa₄₂	p a ⁴²	221	a	37	291 997 1175	1402	nort2724
91	Mazhelong	breast	noŋ₃₃	n o ŋ ³³	222	b	38	107 887 801 1161	1402	sout2730
92	Dashi	breast	pa₄₂	p a ⁴²	221	a	37	291 997 1175	1402	cent2004
93	Zhoucheng	breast	pa₄₂	p a ⁴²	221	a	37	291 997 1175	1402	sout2730
94	Jinxing	breast	pɑ₄₂	p ɑ ⁴²	221	a	37	291 952 1175	1402	cent2004
95	Tuolo	breast	bo₄₂	b o ⁴²	221	a	37	257 887 1175	1402	nort2724
96	Enqi	breast	pa₂₁	p a ²¹	221	a	37	291 997 1152	1402	nort2724
97	Ega	breast	pa₄₂	p a ⁴²	221	a	37	291 997 1175	1402	nort2724
98	Gongxing	burn	ɕy₂₂	ɕ y ²²	223	a	39	204 1047 1150	141	nort2724
99	Jinman	burn	fɤ₅₅ji₅₅	f ɤ ⁵⁵ + j i ⁵⁵	224	bd	40 41	452 947 1189 570 1076 1189	141	nort2724
100	Mazhelong	burn	sɤ₅₅	s ɤ ⁵⁵	223	a	39	89 947 1189	141	sout2730
101	Dashi	burn	ʂu₅₅	ʂ u ⁵⁵	223	a	39	705 868 1189	141	cent2004
102	Zhoucheng	burn	ɲɯ₃₃	ɲ ɯ ³³	227	d	41	595 944 1161	141	sout2730
103	Jinxing	burn	jĩ₃₃	j ĩ ³³	227	d	41	570 1078 1161	141	cent2004
104	Tuolo	burn	jen₃₃	j e n ³³	227	d	41	570 1089 107 1161	141	nort2724
105	Enqi	burn	xu₂₄	x u ²⁴	228	f	42	778 868 1156	141	nort2724
106	Ega	burn	fi₂₂pɛ₂₂	f i ²² + p ɛ ²²	225	bc	40 43	452 1076 1150 291 1121 1150	141	nort2724
107	Gongxing	burn	ɕy₅₅	ɕ y ⁵⁵	223	a	39	204 1047 1189	141	nort2724
108	Mazhelong	burn	fi₃₃kʰǝɯ₅₅	f i ³³ + kʰ əu ⁵⁵	226	be	40 44	452 1076 1161 820 1036 1189	141	sout2730
109	Zhoucheng	burn	su₅₅	s u ⁵⁵	223	a	39	89 868 1189	141	sout2730
110	Gongxing	claw (nail)	t͡ʂi₂₄qa₂₄	ʈʂ i ²⁴ + q a ²⁴	229	cb	45 46	699 1076 1156 757 997 1156	2128	nort2724
111	Jinman	claw (nail)	qa₄₄	q a ⁴⁴	230	b	46	757 997 1178	2128	nort2724
112	Mazhelong	claw (nail)	sǝɯ₃₃kɚ₄₄	s əu ³³ + k ə˞ ⁴⁴	231	ab	47 46	89 1036 1161 838 1026 1178	2128	sout2730
113	Dashi	claw (nail)	ʂɯ₃₃ka₄₄	ʂ ɯ ³³ + k a ⁴⁴	231	ab	47 46	705 944 1161 838 997 1178	2128	cent2004
114	Zhoucheng	claw (nail)	sɯ₃₃ka₄₄	s ɯ ³³ + k a ⁴⁴	231	ab	47 46	89 944 1161 838 997 1178	2128	sout2730
115	Jinxing	claw (nail)	sɯ₃₃ka₄₄	s ɯ ³³ + k a ⁴⁴	231	ab	47 46	89 944 1161 838 997 1178	2128	cent2004
116	Tuolo	claw (nail)	ɕɯ₃₃qa₄₂	ɕ ɯ ³³ + q a ⁴²	231	ab	47 46	204 944 1161 757 997 1175	2128	nort2724
117	Enqi	claw (nail)	tjɯ₂₁qa₂₄	t j ɯ ²¹ + q a ²⁴	229	cb	45 46	120 570 944 1152 757 997 1156	2128	nort2724
118	Ega	claw (nail)	ɕi₂₂qa₄₄	ɕ i ²² + q a ⁴⁴	231	ab	47 46	204 1076 1150 757 997 1178	2128	nort2724
119	Gongxing	cloud	ŋɛ₁₂qǝ₅₅	ŋ ɛ ¹² + q ə ⁵⁵	232	ed	48 49	801 1121 1167 757 1022 1189	1489	nort2724
