# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	PARTIAL	PARTIAL_IDS	CLPA_IDS	CONCEPTICON_ID	GLOTTOLOG	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	ALIGNMENT	STRUCTURE	PATTERNS
#
378	Gongxing	I	ŋa₄₂	ŋ a ⁴²	7	a	103	801 997 1175	1209	nort2724	4 7 8	AXT	NA3	4	4.N.C 4.A.V 4.3.T	1.6 3.0 1.0	0	1	ŋ a ⁴²	c v t	68-5/ŋ 0/n 0/n
379	Jinman	I	õ₄₂	õ ⁴²	7	a	103	883 1175	1209	nort2724	7 8	XT	U3	5	5.U.V 5.3.T	3.0 1.0	0	5	õ ⁴²	v t	0/n 0/n
380	Mazhelong	I	ŋo₄₂	ŋ o ⁴²	7	a	103	801 887 1175	1209	sout2730	4 7 8	AXT	NU3	7	7.N.C 7.U.V 7.3.T	1.6 3.0 1.0	0	1	ŋ o ⁴²	c v t	68-5/ŋ 0/n 0/n
381	Dashi	I	ŋõ₃₁	ŋ õ ³¹	7	a	103	801 883 1162	1209	cent2004	4 7 8	AXT	NU3	1	1.N.C 1.U.V 1.3.T	1.6 3.0 1.0	0	1	ŋ õ ³¹	c v t	68-5/ŋ 0/n 0/n
382	Zhoucheng	I	ŋo₃₁	ŋ o ³¹	7	a	103	801 887 1162	1209	sout2730	4 7 8	AXT	NU3	9	9.N.C 9.U.V 9.3.T	1.6 3.0 1.0	0	1	ŋ o ³¹	c v t	68-5/ŋ 0/n 0/n
383	Jinxing	I	wõ₃₁	w õ ³¹	7	a	103	462 883 1162	1209	cent2004	6 7 8	AXT	WU3	6	6.W.C 6.U.V 6.3.T	1.6 3.0 1.0	0	6	w õ ³¹	c v t	0/n 0/n 0/n
384	Tuolo	I	ŋɔ₂₁	ŋ ɔ ²¹	7	a	103	801 916 1152	1209	nort2724	4 7 8	AXT	NU3	8	8.N.C 8.U.V 8.3.T	1.6 3.0 1.0	0	1	ŋ ɔ ²¹	c v t	68-5/ŋ 0/n 0/n
385	Enqi	I	ɴo₄₃	ɴ o ⁴³	7	a	103	751 887 1176	1209	nort2724	4 7 8	AXT	NU3	3	3.N.C 3.U.V 3.3.T	1.6 3.0 1.0	0	1	ɴ o ⁴³	c v t	68-5/ŋ 0/n 0/n
386	Ega	I	ŋo₄₂	ŋ o ⁴²	7	a	103	801 887 1175	1209	nort2724	4 7 8	AXT	NU3	2	2.N.C 2.U.V 2.3.T	1.6 3.0 1.0	0	1	ŋ o ⁴²	c v t	68-5/ŋ 0/n 0/n
#
1	Gongxing	all	ʦʰæ₂₂ja₄₂	tsʰ æ ²² + j a ⁴²	1	hi	1 2	13 1087 1150 570 997 1175	98	nort2724	2 7 8 9 6 7 8	AXT_AXT	CE1_JA3	4	4.C.C 4.E.V 4.1.T 4._._ 4.J.C 4.A.V 4.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	9 15	tsʰ æ ²² ◦ j a ⁴²	c v t + c v t	8-1/Ø 0/n 0/n + 27-20/j 0/n 0/n
2	Jinman	all	da₄₂t͡ʂɚ₂₂	d a ⁴² + ʈʂ ə˞ ²²	202	cj	3 4	145 997 1175 699 1026 1150	98	nort2724	1 7 8 9 2 7 8	AXT_AXT	TA3_CE1	5	5.T.C 5.A.V 5.3.T 5._._ 5.C.C 5.E.V 5.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	9 13	d a ⁴² ◦ ʈʂ ə˞ ²²	c v t + c v t	8-1/Ø 0/n 0/n + 46-3/tɕ 0/n 0/n
3	Mazhelong	all	so₂₁ji₂₁	s o ²¹ + j i ²¹	233	lm	5 6	89 887 1152 570 1076 1152	98	sout2730	3 7 8 9 6 7 8	AXT_AXT	SU3_JI3	7	7.S.C 7.U.V 7.3.T 7._._ 7.J.C 7.I.V 7.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	9 15	s o ²¹ ◦ j i ²¹	c v t + c v t	8-1/Ø 0/n 0/n + 27-20/j 0/n 0/n
4	Dashi	all	ʨwan₄₂pu₅₅	tɕ w a n ⁴² + p u ⁵⁵	259	ab	7 8	200 462 997 107 1175 291 868 1189	98	cent2004	2 6 7 4 8 9 1 7 8	ACXLT_AXT	CWAN3_PY5	1	1.C.C 1.W.C 1.A.V 1.N.c 1.3.T 1._._ 1.P.C 1.Y.V 1.5.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	7 8	tɕ w a n ⁴² ◦ p u ⁵⁵	c c v c t + c v t	0/n 0/n 0/n 0/n 0/n + 20-2/p 0/n 0/n
5	Zhoucheng	all	ji₃₁su₃₃	j i ³¹ + s u ³³	244	mp	6 9	570 1076 1162 89 868 1161	98	sout2730	6 7 8 9 3 7 8	AXT_AXT	JI3_SY4	9	9.J.C 9.I.V 9.3.T 9._._ 9.S.C 9.Y.V 9.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	15 13	j i ³¹ ◦ s u ³³	c v t + c v t	27-20/j 0/n 0/n + 46-3/tɕ 0/n 0/n
6	Jinxing	all	ʦa₃₅kɑ₂₁ʦi₃₃	ts a ³⁵ + k ɑ ²¹ + ts i ³³	2	ekg	10 11 12	15 997 1165 838 952 1152 15 1076 1161	98	cent2004	2 7 8 9 1 7 8 9 2 7 8	AXT_AXT_AXT	CA2_KA3_CI4	6	6.C.C 6.A.V 6.2.T 6._._ 6.K.C 6.A.V 6.3.T 6._._ 6.C.C 6.I.V 6.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	9 8 13	ts a ³⁵ ◦ k ɑ ²¹ ◦ ts i ³³	c v t + c v t + c v t	8-1/Ø 0/n 0/n + 20-2/p 0/n 0/n + 46-3/tɕ 0/n 0/n
7	Tuolo	all	ʨʰa₅₅	tɕʰ a ⁵⁵	33	o	13	199 997 1189	98	nort2724	2 7 8	AXT	CA5	8	8.C.C 8.A.V 8.5.T	1.6 3.0 1.0	0	9	tɕʰ a ⁵⁵	c v t	8-1/Ø 0/n 0/n
8	Enqi	all	ʨa₂₄ʁo₂₁ʦi₂₂	tɕ a ²⁴ + ʁ o ²¹ + ts i ²²	3	efg	10 14 12	200 997 1156 739 887 1152 15 1076 1150	98	nort2724	2 7 8 9 5 7 8 9 2 7 8	AXT_AXT_AXT	CA2_RU3_CI1	3	3.C.C 3.A.V 3.2.T 3._._ 3.R.C 3.U.V 3.3.T 3._._ 3.C.C 3.I.V 3.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	9 8 13	tɕ a ²⁴ ◦ ʁ o ²¹ ◦ ts i ²²	c v t + c v t + c v t	8-1/Ø 0/n 0/n + 20-2/p 0/n 0/n + 46-3/tɕ 0/n 0/n
9	Ega	all	da₅₅ŋwa₂₂	d a ⁵⁵ + ŋ w a ²²	201	cd	3 15	145 997 1189 801 462 997 1150	98	nort2724	1 7 8 9 4 6 7 8	AXT_ACXT	TA5_NWA1	2	2.T.C 2.A.V 2.5.T 2._._ 2.N.C 2.W.C 2.A.V 2.1.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0	9 10	d a ⁵⁵ ◦ ŋ w a ²²	c v t + c c v t	8-1/Ø 0/n 0/n + 0/n 0/n 0/n 0/n
#
