ID	FREQUENCY	Danish	Dutch	English	German	Icelandic	Norwegian	Swedish	COGIDS	CONCEPTS
1	2	ʌ	oː	ʌ	ɔ	ɔː	ɔ	o	31:3, 174:0	come (V) / snake
2	2	ʌ	oː	aɪ	au	øyː	œ	øː	45:0, 147:1	eye / tree
3	1	ʌ	-	ə	ə	ʏ	-	e	47:4	feather
4	1	ʌ	oː	Ø	au	eiː	œ	ø	124:1	smoke
5	1	ʌ	ə	ə	ə	ʏ	Ø	e	75:3	liver
6	1	ʌ	ɑu	əʊ	a	a	Ø	a	30:1	cold
7	1	ʌ	ɑ	æ	a	œ	Ø	a	59:1	hand
1	2	ʁˀ	r	r	r	Ø	Ø	rː	87:3, 163:3	far / mountain
2	2	ʁˀ	r	r	r	r	-	r	64:2, 181:2	horn / worm
1	23	ʁ	r	r	r	r	ɾ	r	-108:0, -4:2, 11:3, 13:1, 23:2, 24:2, 32:3, 36:1, 38:1, 40:2, 48:2, 57:1, 66:1, 102:0, 103:0, 106:2, 113:1, 124:0, 134:3, 146:1, 158:1, 164:3, 182:2	bark / big / breast / burn (V) / die (V) / drink (V) / dry / earth / fire / green / heavy / kill (V) / rain (V) / red / root / round / seed / smoke / tail / tree / woman / year
2	1	ʁ	r	r	r	r̥	Ø	r	63:2	heart
3	1	ʁ	r	r	r	r	-	r	126:4	star
4	1	ʁ	Ø	Ø	Ø	rː	ɾ	rː	37:2	dry
5	1	ʁ	b	r	-	-	ɾ	r	168:2	near
1	1	ɶˀ	Ø	Ø	Ø	ʏ	œ	o	37:1	dry
1	1	ɶ	uː	iː	yː	ai	œ	øː	57:2	green
1	1	ɛː	œː	əʊ	aː	Ø	eː	ɛː	97:1	nose
2	1	ɛː	Ø	Ø	Ø	ɛː	eː	ɛ	66:2	kill (V)
1	2	ɛˀ	aː	ɔː	eː	auː	Ø	oː	120:2, 164:2	heavy / small
2	2	ɛˀ	eː	iː	ɛ	ɛː	eː	ɛː	42:0, 146:3	eat (V) / tree
3	1	ɛˀ	ɛɪ	ɛ	ai	ɛ	e	e	44:0	egg
4	1	ɛˀ	iː	iː	iː	iɛː	eː	ɛː	69:2	knee
5	1	ɛˀ	aː	ɪə	aːə	auː	æː	ɛː	168:1	near
1	3	ɛ	ɛ	-	ɛ	a	e	ɛ	-46:1, 71:1, 88:2	fat / know (V) / mountain
2	2	ɛ	eː	ɪ	iː	ɛ	e	ɛ	81:1, 140:1	many / this
3	1	ɛ	ɛ	æ	ɛ	aː	e	ɛ	101:1	person
4	1	ɛ	ɪ	ɪ	ɪ	ɛʰ	Ø	i	36:2	drink (V)
5	1	ɛ	iː	uː	eː	ɛː	e	e	157:1	who
1	11	ə	-	-	ə	a	ə	a	-41:4, 26:4, 38:4, 45:2, 66:4, 97:3, 112:3, 118:3, 143:4, 160:4, 173:5	cloud / dry / eat (V) / eye / kill (V) / nose / seed / sleep (V) / snake / tongue / woman
2	11	ə	ə	-	ə	a	ə	a	17:3, 24:7, 31:5, 32:5, 36:5, 42:2, 67:3, 70:3, 114:4, 119:4, 130:4	bite (V) / burn (V) / come (V) / die (V) / drink (V) / eat (V) / kill (V) / know (V) / sit (V) / sleep (V) / swim (V)
3	5	ə	-	-	-	ɪ	ə	e	9:3, 86:4, 99:2, 122:4, 132:3	belly / moon / not / small / tail
4	2	ə	-	-	-	a	ə	a	63:4, 126:6	heart / star
5	1	ə	-	-	-	ʏ	ə	i	101:3	person
6	1	ə	-	-	-	-	ə	a	101:6	person
7	1	ə	ə	əʊ	ə	a	ə	a	71:3	know (V)
8	1	ə	ə	-	ə	ɪ	ə	a	140:3	this
9	1	ə	ə	aɪ	ə	uːa	yː	a	52:4	fly (V)
10	1	ə	ə	aɪ	ə	a	ə	a	74:3	lie (V)
11	1	ə	Ø	ɪ	Ø	Ø	ə	a	79:3	many
1	1	ɔː	aː	uː	oː	auː	ɑː	oː	86:1	moon
1	1	ɔˀ	aː	əʊ	eːə	Ø	oː	oː	150:1	walk (V)
2	1	ɔˀ	aː	æ	eːə	a	oː	oː	125:2	stand (V)
1	2	ɔ	ɔ	ʌ	ʊ	u	u	u	143:1, 166:1	heavy / tongue
2	2	ɔ	ɔ	aʊ	ʊ	ʏ	ʉ	u	-108:1, 90:1	mouth / round
1	1	ɒː	ɔ	Ø	ʊ	Ø	ɔ	ɔ	-172:1	short
2	1	ɒː	ɑ	Ø	a	a	ɔ	a	19:2	black
1	1	ɒˀ	aː	ɛə	aː	auː	oː	oː	58:1	hair
