# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	ALIGNMENT	STRUCTURE	PATTERNS
#
295	German	I	42	ɪx	ɪ x	65	- ɪ x	c c	91-5/j 169-1/ɑ 22-1/j 0/n 0/n
296	English	I	42	aɪ	aɪ	65	- aɪ -	c	91-5/j 169-1/ɑ 22-1/j 0/n 0/n 0/n
297	Danish	I	42	jɑj	j ɑ j	65	j ɑ j	c c c	91-5/j 169-1/ɑ 22-1/j 0/n 0/n
298	Swedish	I	42	jaːg	j aː g	65	j aː g	c c c	91-5/j 169-1/ɑ 22-1/j 0/n 0/n 0/n
299	Icelandic	I	42	jɛɣ	j ɛ ɣ	65	j ɛ ɣ	c c c	91-5/j 169-1/ɑ 22-1/j 0/n 0/n
300	Dutch	I	42	ɪk	ɪ k	65	- ɪ k	c c	91-5/j 169-1/ɑ 22-1/j 0/n 0/n
301	Norwegian	I	42	jæj	j æ j	65	j æ j	c c c	91-5/j 169-1/ɑ 22-1/j 0/n 0/n
#
1	German	all	1	al	a l	1	a l - -	c c	302-1/æˀ 269-2/l 32-1/- 299-22/- 0/n 0/n 0/n
2	English	all	1	ɔːl	ɔː l	1	ɔː l - -	c c	302-1/æˀ 269-2/l 32-1/- 299-22/- 0/n 0/n 0/n 0/n
3	Danish	all	1	æˀl	æˀ l	1	æˀ l - -	c c	302-1/æˀ 269-2/l 32-1/- 299-22/- 0/n 0/n 0/n 0/n
4	Swedish	all	1	alː	a lː	1	a lː - -	c c	302-1/æˀ 269-2/l 32-1/- 299-22/- 0/n 0/n 0/n 0/n
5	Icelandic	all	1	at͡lir	a t͡l i r	1	a t͡l i r	c c c c	302-1/æˀ 269-2/l 32-1/- 299-22/- 0/n 0/n 0/n 0/n 0/n
6	Dutch	all	1	ɑlə	ɑ l ə	1	ɑ l ə -	c c c	302-1/æˀ 269-2/l 32-1/- 299-22/- 0/n 0/n 0/n
7	Norwegian	all	1	ɑlə	ɑ l ə	1	ɑ l ə -	c c c	302-1/æˀ 269-2/l 32-1/- 299-22/- 0/n 0/n 0/n
#
8	German	ashes	2	aʃə	a ʃ ə	2	a ʃ - ə	c c c	304-3/a 48-2/s 145-4/g 133-1/- 0/n 0/n 0/n
9	English	ashes	2	æʃ	æ ʃ	2	æ ʃ - -	c c	304-3/a 48-2/s 145-4/g 133-1/- 0/n 0/n 0/n
10	Danish	ashes	2	asg	a s g	2	a s g -	c c c	304-3/a 48-2/s 145-4/g 133-1/- 0/n 0/n 0/n
11	Swedish	ashes	2	asːka	a sː k a	2	a sː k a	c c c c	304-3/a 48-2/s 145-4/g 133-1/- 0/n 0/n 0/n 0/n
12	Icelandic	ashes	2	aska	a s k a	2	a s k a	c c c c	304-3/a 48-2/s 145-4/g 133-1/- 0/n 0/n 0/n
13	Dutch	ashes	2	ɑs	ɑ s	2	ɑ s - -	c c	304-3/a 48-2/s 145-4/g 133-1/- 0/n 0/n 0/n
14	Norwegian	ashes	2	ɑsk	ɑ s k	-2	ɑ s k	c c c	0/n 0/n 0/n 0/n 0/n
#
15	German	bark	3	rɪndə	r ɪ n d ə	5	r ɪ n d ə	c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
16	English	bark	3	bɑːrk	b ɑː r k	-4	b ɑː r k	c c c c	162-8/b 164-2/æ 95-23/ʁ 294-8/k 0/n 0/n 0/n 0/n
17	Danish	bark	3	bɑːg	b ɑː g	4	b ɑː - g - -	c c c	4-2/b 271-1/ɑː 297-3/- 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
18	Swedish	bark	3	barːk	b a rː k	4	b a rː k - -	c c c c	4-2/b 271-1/ɑː 297-3/- 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
19	Icelandic	bark	3	bœrkʏr	b œ r k ʏ r	4	b œ r k ʏ r	c c c c c c	4-2/b 271-1/ɑː 297-3/- 145-4/g 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n
20	Dutch	bark	3	bɑst	b ɑ s t	3	b ɑ s t	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
21	Norwegian	bark	3	bɑɾk	b ɑ ɾ k	-4	b ɑ ɾ k	c c c c	162-8/b 164-2/æ 95-23/ʁ 294-8/k 0/n 0/n 0/n
#
22	German	belly	4	baux	b au x	7	b au x	c c c	162-8/b 106-1/Ø 141-2/- 0/n 0/n 0/n
23	English	belly	4	bɛlɪ	b ɛ l ɪ	8	b ɛ l ɪ	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
24	Danish	belly	4	ɔnʌliwˀ	ɔ n ʌ l i wˀ	6	ɔ n ʌ l i wˀ	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
25	Swedish	belly	4	maːge	m aː g e	9	m aː g e	c c c c	157-14/m 306-2/æː 2-1/v 234-5/ə 0/n 0/n 0/n 0/n
26	Icelandic	belly	4	kʰvɪːðʏr	kʰ v ɪː ð ʏ r	10	kʰ v ɪː ð ʏ r	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
27	Dutch	belly	4	bœyk	b œy k	7	b œy k	c c c	162-8/b 106-1/Ø 141-2/- 0/n 0/n 0/n
28	Norwegian	belly	4	mɑːgə	m ɑː g ə	9	m ɑː g ə	c c c c	157-14/m 306-2/æː 2-1/v 234-5/ə 0/n 0/n 0/n 0/n
29	Danish	belly	4	mæːvə	m æː v ə	9	m æː v ə	c c c c	157-14/m 306-2/æː 2-1/v 234-5/ə 0/n 0/n 0/n 0/n
30	Swedish	belly	4	buk	b u k	7	b u k	c c c	162-8/b 106-1/Ø 141-2/- 0/n 0/n
31	Norwegian	belly	4	bʉːk	b ʉː k	7	b ʉː k	c c c	162-8/b 106-1/Ø 141-2/- 0/n 0/n 0/n
#
32	German	big	5	ɡroːs	ɡ r oː s	13	ɡ r oː s	c c c c	36-4/g 95-23/ʁ 183-2/uˀ 275-6/ð 0/n 0/n 0/n 0/n
33	English	big	5	bɪɡ	b ɪ ɡ	12	b ɪ ɡ	c c c	0/n 0/n 0/n 0/n 0/n
34	Danish	big	5	sdoˀʁ	s d oˀ ʁ	11	s d oˀ ʁ	c c c c	239-13/s 171-6/d 201-2/oˀ 95-23/ʁ 0/n 0/n 0/n 0/n
35	Swedish	big	5	stoːr	s t oː r	11	s t oː r	c c c c	239-13/s 171-6/d 201-2/oˀ 95-23/ʁ 0/n 0/n 0/n 0/n
36	Icelandic	big	5	stouːr	s t ouː r	11	s t ouː r	c c c c	239-13/s 171-6/d 201-2/oˀ 95-23/ʁ 0/n 0/n 0/n 0/n 0/n
37	Dutch	big	5	xroːt	x r oː t	13	x r oː t	c c c c	36-4/g 95-23/ʁ 183-2/uˀ 275-6/ð 0/n 0/n 0/n 0/n
38	Norwegian	big	5	stuːɾ	s t uː ɾ	-11	s t uː ɾ	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
39	English	big	5	ɡreɪt	ɡ r eɪ t	13	ɡ r eɪ t	c c c c	36-4/g 95-23/ʁ 183-2/uˀ 275-6/ð 0/n 0/n 0/n 0/n
40	Icelandic	big	5	mɪːcɪt͡l	m ɪː c ɪ t͡l	14	m ɪː c ɪ t͡l	c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
#
41	German	bird	6	foːɡəl	f oː ɡ ə l	16	f oː ɡ ə l	c c c c c	83-15/f 183-2/uˀ 34-1/- 27-2/- 44-18/l 0/n 0/n 0/n 0/n 0/n
42	English	bird	6	bɜːrd	b ɜː r d	15	b ɜː r d	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
43	Danish	bird	6	fuˀl	f uˀ l	16	f uˀ - - l	c c c	83-15/f 183-2/uˀ 34-1/- 27-2/- 44-18/l 0/n 0/n 0/n 0/n 0/n
44	Swedish	bird	6	foːgel	f oː g e l	16	f oː g e l	c c c c c	83-15/f 183-2/uˀ 34-1/- 27-2/- 44-18/l 0/n 0/n 0/n 0/n 0/n
45	Icelandic	bird	6	fʏkl	f ʏ k l	16	f ʏ k - l	c c c c	83-15/f 183-2/uˀ 34-1/- 27-2/- 44-18/l 0/n 0/n 0/n 0/n
46	Dutch	bird	6	voːɣəl	v oː ɣ ə l	16	v oː ɣ ə l	c c c c c	83-15/f 183-2/uˀ 34-1/- 27-2/- 44-18/l 0/n 0/n 0/n 0/n 0/n
47	Norwegian	bird	6	fʉːl	f ʉː l	16	f ʉː - - l	c c c	83-15/f 183-2/uˀ 34-1/- 27-2/- 44-18/l 0/n 0/n 0/n 0/n 0/n
#
48	German	bite (V)	7	baisən	b ai s ə n	17	b ai s ə n	c c c c c	162-8/b 228-3/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
49	English	bite (V)	7	baɪt	b aɪ t	17	b aɪ t - -	c c c	162-8/b 228-3/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
50	Danish	bite (V)	7	biːðə	b iː ð ə	17	b iː ð ə -	c c c c	162-8/b 228-3/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
51	Swedish	bite (V)	7	biːta	b iː t a	17	b iː t a -	c c c c	162-8/b 228-3/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
52	Icelandic	bite (V)	7	piːta	p iː t a	17	p iː t a -	c c c c	162-8/b 228-3/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
53	Dutch	bite (V)	7	bɛɪtə	b ɛɪ t ə	17	b ɛɪ t ə -	c c c c	162-8/b 228-3/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
54	Norwegian	bite (V)	7	biːtə	b iː t ə	17	b iː t ə -	c c c c	162-8/b 228-3/iː 275-6/ð 241-11/ə 38-19/- 0/n 0/n 0/n 0/n 0/n
#
55	German	black	8	ʃvart͡s	ʃ v a r t͡s	19	ʃ v a r t͡s - -	c c c c c	20-3/s 281-2/- 212-1/ɒː 173-2/- 123-1/d 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
56	English	black	8	blæk	b l æ k	18	b l æ k	c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n
57	Danish	black	8	sɒːd	s ɒː d	19	s - ɒː - d - -	c c c	20-3/s 281-2/- 212-1/ɒː 173-2/- 123-1/d 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n
58	Swedish	black	8	svartː	s v a r tː	19	s v a r tː - -	c c c c c	20-3/s 281-2/- 212-1/ɒː 173-2/- 123-1/d 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n
59	Icelandic	black	8	svar̥tʏr	s v a r̥ t ʏ r	19	s v a r̥ t ʏ r	c c c c c c c	20-3/s 281-2/- 212-1/ɒː 173-2/- 123-1/d 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n 0/n
60	Dutch	black	8	zʋɑrt	z ʋ ɑ r t	19	z ʋ ɑ r t - -	c c c c c	20-3/s 281-2/- 212-1/ɒː 173-2/- 123-1/d 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
61	Norwegian	black	8	sɔʈ	s ɔ ʈ	19	s - ɔ - ʈ - -	c c c	20-3/s 281-2/- 212-1/ɒː 173-2/- 123-1/d 209-21/- 299-22/- 0/n 0/n 0/n 0/n 0/n 0/n
#
62	German	blood	9	bluːt	b l uː t	20	b l uː t	c c c c	162-8/b 44-18/l 217-1/oˀ 242-1/ð 0/n 0/n 0/n 0/n
63	English	blood	9	blʌd	b l ʌ d	20	b l ʌ d	c c c c	162-8/b 44-18/l 217-1/oˀ 242-1/ð 0/n 0/n 0/n
64	Danish	blood	9	bloˀð	b l oˀ ð	20	b l oˀ ð	c c c c	162-8/b 44-18/l 217-1/oˀ 242-1/ð 0/n 0/n 0/n 0/n
65	Swedish	blood	9	bloːd	b l oː d	20	b l oː d	c c c c	162-8/b 44-18/l 217-1/oˀ 242-1/ð 0/n 0/n 0/n 0/n
66	Icelandic	blood	9	plouːθ	p l ouː θ	20	p l ouː θ	c c c c	162-8/b 44-18/l 217-1/oˀ 242-1/ð 0/n 0/n 0/n 0/n 0/n
67	Dutch	blood	9	bluːt	b l uː t	20	b l uː t	c c c c	162-8/b 44-18/l 217-1/oˀ 242-1/ð 0/n 0/n 0/n 0/n
68	Norwegian	blood	9	bluː	b l uː	20	b l uː -	c c c	162-8/b 44-18/l 217-1/oˀ 242-1/ð 0/n 0/n 0/n 0/n
#
69	German	bone	10	knɔxən	k n ɔ x ə n	22	k n ɔ x ə n	c c c c c c	0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n 0/n
