ID	ORTHOGRAPHY	CELEX	TYPE	SOURCE_FORM	SOURCE_LANGUAGE	STRATUM	ATTESTED
1	à		1			1	16. Jh.
2	Aal	aː l				1	10. Jh.
3	aalen	aː l ə n				1	19. Jh.
4	Aalquappe					?	16. Jh.
5	Aalstrich					?	19. Jh.
6	Aar	aː r				2	8. Jh.; heute durch Adler ersetzt
7	Aas	aː s				1	8. Jh., Form 12. Jh.
8	aasen					2	19. Jh.
9	ab	a p				1	8. Jh.
10	abäschern					?	17. Jh.
11	Abbiß					?	16. Jh.
12	abblasen	a p b l aː z ə n				1	16. Jh.
13	abblitzen	a p b l ɪ t͡s ə n				1	18. Jh.;Stammwort meist in Verbindungen wie er ist abgeblitzt oder sie hat ihn abblitzen lassen
14	abdanken	a p d a ŋ k ə n				1	16. Jh.
15	Abdecker	a p d ɛ k ə r				?	16. Jh.
16	Abee					?	20. Jh.
17	Abele		1			?	14. Jh.
18	Abend	aː b ə n t				1	9. Jh., abendstern 8. Jh.
19	Abendland	aː b ə n t l a n t				1	16. Jh.
20	Abendmahl	aː b ə n t m aː l				1	15. Jh.
21	Abenteuer	aː b ə n t ɔyə r	1			1	12. Jh.
22	aber	aː b ə r				1	8. Jh.
23	Aberglaube	aː b ə r ɡ l au b ə				1	13. Jh.
24	abermals	aː b ə r m aː ʪ				1	15. Jh.
25	Aberwitz	aː b ə r v ɪ t͡s				2	14. Jh.
26	abfällig					1	18. Jh.
27	abfieseln					2	19. Jh.
28	abfinden	a p f ɪ n d ə n				1	13. Jh., Standard 16. Jh.
29	Abfuhr	a p f uː r				1	19. Jh.
30	abgebrannt	a p ɡ ə b r a n t				1	17. Jh.
31	abgebrüht					1	19. Jh.
32	abgedroschen	a p ɡ ə d r ɔ ʃ ə n				1	18. Jh.
33	abgefeimt	a p ɡ ə f ai m t				2	15. Jh.
34	abgelegen	a p ɡ ə l eː ɡ ə n				1	16. Jh.
35	abgeschmackt	a p ɡ ə ʃ m a k t				1	16. Jh., Form 17. Jh.
36	Abgott	a p ɡ ɔ t				1	8. Jh.
37	Abgrund	a p ɡ r ʊ n t				1	8. Jh., Form 14. Jh.
38	abhanden	a p h a n d ə n				1	14. Jh.
39	Abhang	a p h a ŋ				1	15. Jh., aber erst im 17. Jh. gebräuchlich geworden
40	abhängig					1	15. Jh., Bedeutung 18. Jh., das Grundwort abhängen in der Bedeutung «abhängig sein» seit dem 16. Jh.
41	abhauen	a p h auə n				1	9. Jh., Bedeutung 20. Jh.
42	abhold	a p h ɔ l t				2	14. Jh.
43	äbich					?	8. Jh.
44	Abklatsch	a p k l a ʧ				1	19. Jh.
